,Цена,Ссылка,Общая площадь,Площадь кухни,Этаж,Санузел,Окна,Ремонт,Тип дома,Пассажирский лифт,Грузовой лифт,Парковка,Город,Этажей в доме,умный_относ_этаж,возраст_дома,период_строительства
8900,4550000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_567_m_24_et._7695209721?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,56.7,6.0,2,1,0,2,9870197.894296648,0,0,0,6531166.464112665,4,0.3333333333333333,73.0,2
8901,4999000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_34_m_610_et._7760188680?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,34.0,8.6,6,0,1,2,9870197.894296648,1,1,2,6531166.464112665,10,0.5555555555555556,17.0,3
8902,4350000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_302_m_312_et._7686380809?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,30.2,10.9,3,0,1,1,8348267.076508711,1,1,0,6531166.464112665,12,0.18181818181818182,1.0,4
8904,2850000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_297_m_25_et._7572787260?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,29.7,5.9,2,0,1,2,8348267.076508711,0,0,0,6531166.464112665,5,0.25,43.0,1
8906,7950000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_712_m_312_et._3382613093?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,71.2,10.8,3,1,1,0,9870197.894296648,2,0,0,6531166.464112665,12,0.18181818181818182,23.0,3
8907,4500000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_321_m_35_et._4593931056?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,32.1,6.0,3,0,1,0,8348267.076508711,0,0,0,6531166.464112665,5,0.5,62.0,0
8908,4500000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_508_m_35_et._7577617238?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,50.8,6.0,3,1,1,0,9870197.894296648,0,0,0,6531166.464112665,5,0.5,47.0,0
8909,9200000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_463_m_525_et._4617747394?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,46.3,14.7,5,0,0,1,9870197.894296648,2,2,3,6531166.464112665,25,0.16666666666666666,4.0,4
8910,10500000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_635_m_2025_et._7287065082?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,63.5,7.4,20,0,0,3,9870197.894296648,1,1,1,6531166.464112665,25,0.7916666666666666,6.0,4
8911,7000000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_611_m_15_et._7737967236?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,61.1,6.0,1,0,0,0,9870197.894296648,0,0,0,6531166.464112665,5,0.0,80.0,2
